,Chapter,Topic,Content
0,Chapter 1 - Matter in Our Surroundings,States of matter,"Matter around us exists in their different states – Solid, liquid, and Gas. The Solid state. Solid have a fixed shape and a fixed volume. Solid can not be compressed. Solids have high density. Force of attraction between the particles is very sstrong. The space between the particles of solids is negligible. The liquid state Liquids have a fixed volume but no fixed shape. liquids can be compressed. liquids have less density than solids. intermolecular forces attraction are weaker than solids. the liquids have greater space between the particles than solids. The gaseous state Gaseous have neither a fixed shape nor a fixed volume. Gaseous can be compressed easily. Gaseous have the least density among solids and liquids. intermolecular forces of attraction are the weakest. The space between the particles is the largest."
1,Chapter 1 - Matter in Our Surroundings,Can matter change its state?,"Effect of change of temperature:- On increasing the temperature of solids, the kinetic energy of the particles increases in kinetic energy, the particles start vibrating with greater speed. The energy supplied by heat overcomes the forces of attraction between the particles. The particles leave their fixed positions and start moving more freely. A stage is reached when the solids melts and is converted to a liquid. The minimum temperature at which a solid melts to become a liquid at the atmospheric pressure is called its melting point. The melting point of a solid is an indication of the strength of the force of attraction between its particles. The process of melting, that is change of solid state into liquid state is also known as fusion. The melting point of ice is 273.15K or 0 o C. Latent Heat-The hidden heat which breaks the force of attraction between the molecules is known as the latent heat. Since the heat energy is hidden in the bulk of the matter is called latent heat. The temperature at which a liquid start boiling at atmospheric pressure is called its boiling. Boiling is a bulk phenomenon particles from the bulk of the liquid gain energy to change into the gaseous state. for ex- boiling point of water is 100 o C.{or 100oC=273+100=373K} Latent heat of vaporisation : The heat energy required to convert 1 kilogram of liquid into gas, at atmospheric pressure, at its boiling point is known as the latent heat of vaporisation. There are some that change directly from solid state to gaseous state and vice versa without changing into liquid state. Sublimation: A change of state directly from solid to gas without changing into liquid state is called Sublimation. Deposition: The direct change of gas to solid without changing into liquid is called Deposition. Effect of change of pressure Solid carbon dioxide is also known as dry ice because solid CO2 gets converted directly into gaseous state on decrease of pressure to 1 atmosphere."
2,Chapter 1 - Matter in Our Surroundings,Physical nature of matter and Characteristics of particles of matter,"Anything that occupies space and has mass and is felt by senses is called matter. Matter is the form of five basic elements that is called punch tantra -Air,Earth,Fire,Sky and Water. Characterstics of particles of matter 1.Made of tiny particles. 2.Vacant spaces exist in particles. 3.Particles are in continuous motion. 4. Particles are held together by forces of attraction. 5.Particles of matter have space between them. 6.As the temperature rises , particles move faster. So, we can say that with increase in temperature the kinetic energy of the particles also increase. 7.particles of matter attract each other. The strength of this force of attraction varies from one matter to another Diffusion: The intermixing of particles of two different types of matter on their own is called diffusion."
3,Chapter 1 - Matter in Our Surroundings,Evaporation,"Evaporation: Change of a liquid into vapours at any temperature below its boiling point is called Evaporation. Factors affecting evaporation: An increase of surface area: If the surface phenomenon. If the surface area is increased, the rate of evaporation increases. for Ex- While putting clothes for drying up we spread them out. An increase of temperature: With the increase of temperaturte, more number of particles get enough kinetic energy to go into the vapour state. A decrease in huminity: Huminity is the amount of water vapour present in the air. The air around us cannot hold more than a definite amount of water vapour at a given temperature. If the amount of water in the air is already high the rate of evaporation decreases. An increase in wind speed: Clothes dry faster on a windy day. With the increase in wind speed, the particles of water vapour move away with the wind. Condensation: The process in which a gas on cooling turns into a liquid at a specific temperature is called Condensation. Vaporisation: The process in which a liquid on heating changes into gas is called Vaporisation. Solidification: The process in which a liquid on cooling changes into solid is called Solidification. Fusion: The process in which a solid on heating changes into liquid then it is called Fusion. PLASMA: The state consists of super energetic and super excited particles. These particles are in the form of ionised gases . The fluorescent tube and neon sign bulbs consists of plasma. BOSE EINSTEIN CONDENSATE: Indian physicist Satyendra Nath Bose made a study regarding the fifth state of matter. Based on his study, Albert Einstein predicted a fifth state of matter called the Bose- Einstein Condensate. The Bose- Einstein Condensate or BEC is formed by coling a gas of extremely low density to super low temperatures. Unit and Symbols QUANTITY UNIT SYMBOL Temperature Kelvin K Length Metre M Mass Kilogram Kg Weight Newton N Volume Cubic metre m3 Density Kilogram per cubic metre Kg/m3 Pressure Pascal Pa"
4,Chapter 2- Is matter around us pure,Introduction of Is Matter Around Us Pure,"Anything that occupies space and has mass is called matter. Matter can be divided into two categories. Pure substance: It consists of single types of particles which are the same in their chemical nature. Mixtures: Mixtures consist of two or more particles. MIXTURES AND IT’S TYPES Mixtures consist of more than one kind of pure substance which can be separated by physical method. Mixtures are of two types: Homogeneous Mixtures: A mixture is solid to be homogeneous if all the components of the mixture are uniformly mixed and there are no boundaries of separation between them. Ex- Sugar in water, etc. Heterogeneous Mixtures: A mixture is solid to be heterogeneous if all the components of the mixture are not uniformly separated between them. Ex-Water and Sand, etc."
5,Chapter 2- Is matter around us pure,Solution And It’s Properties,"A solution is a homogeneous mixture of two or more substances. Ex- Lemonade and soda water. ALLOYS:- Alloys are a mixture of two or more metals or metal or non-metal and cannot be separated into their components by physical method. Ex- Brass is a mixture of 30% Zinc and 70% Copper. Types of Solution: Solvent: The component of the solution that dissolves the other components in it is called solvent. it is in a larger amount. Solute: The component of the solution that is dissolved in the solvent is called solute. it is in lesser amount. EX: A solution of sugar in water is a solid in liquid solution. In this solution, the sugar is solute and water is solvent. PROPERTIES OF SOLUTIOON It is a homogeneous mixture. Particles of solutions are small so they cannot be seen with naked eyes. They do not scatter a beam of light passing through the solution. So, the path of light is not visible in a solution. the solute particles cannot be separated from the mixture by filteration and decantation."
6,Chapter 2- Is matter around us pure,Concentration,"Saturated solution: At any particular temperature, are solution that has dissolved as much as it is capable of dissolving, it is said to be a saturated solution Unsaturated solution: If the amount of solute contained in a solution is less than the saturation label, it is called an unsaturated solution. Solubility: The amount of solute present in the saturated solution at this temperature is called its solubility. The concentration of solution is the amount of solute present in a given amount (mass or volume) of solution, or the amount of solute dissolved in a given mass or volume of solvent. Concentration of solution = Amount of solute Amount of solution Two methods to find the mass or volume percentage of a solution. Mass by mass percentage of solution = mass of solute mass of solution ∗ 100 Mass by volume percentage of solution = mass of solute mass of solution ∗ 100"
7,Chapter 2- Is matter around us pure,Suspension,A suspension is a heterogeneous mixture in which the solute particles do not dissolve but remain suspended throughout the bulk of the medium. Properties of Suspension: It is a heterogeneous mixture. Particles can be seen by the naked eye. The particles scatter a beam of light passing through it. and make its path visible. The solute particles settle down when left undisturbed and then the particles can be separated by the filtration process.
8,Chapter 2- Is matter around us pure,Colloidal,"Colloidal solution is a heterogeneous mixture in which the size of particles lies between the true solution and the suspension. Ex-Milk. Properties of colloid: It is a heterogeneous mixture. Particles of colloid is too small to be individually seen by the naked eye. Colloid scatter a beam of light passing through it and make its path visible. They do not settle down when left undisturbed that colloid is quite stable. It cannot be separated by filtration but can be separated by the process of Centrifugation. Colloid solution scatter of a beam of light that is called Tyndall effect. The component in which the dispersed phase is suspended is known as the dispersing medium. Separating the components of a mixture. Different methods of separations are used to get individual component from a mixture . With the help of separation we can study the individual components of the mixture. Methods of separation of the components of mixture. Evaporation Centrifugation Sublimation Chromatography Distillation Crystallization We can separate the volatile component(solvent) from its non-volatile solute by the method of evaporation. The principle is that the denser particles are forced to the bottom and the lighter particles stay at the top when spun rapidly this is called centrifugation. APPLICATIONS Used in diagnostic laboratories for blood and urine tests. Uses in dairies and home to separate butter from cream. Used in washing machines to squeeze out water from wet clothes. Separating two immiscible liquids The separation of separating two immiscible liquids is carried out by the use of funnel. And also the basic principle involve is the difference between the densities of two liquids from two separate layers. Application of funnel: To separate mixture of oil and water. In the extraction of iron from its ore, the lighter slag is removed from the top by this method to leave the molten iron at the bottom in the furnace. Sublimation: To separate such mixtures that contain a sublimable volatile component from a non sublimable impurity, this is called sublimation process. Ex-Ammonium Chloride, Camphor, Naphthalene and Anthracene. Chromatography: Used to separate those solutes which dissolve in the same solvent. It is used for separation of colors. The colors which are more soluble in water rises faster and get colors get separated into layers. Application : To separate colors in a dye. To separate pigments from natural colors. To separate drugs from blood. Distillation: It is used for separation of components of a mixture containing to miscible liquids that boil without decomposition and have sufficient difference in their boiling points. Ex- Mixture of acetone and water is separated by this method. Fractional distillation : It is used to separate a mixture of two or more miscible liquids for which the difference in boiling points is less than 25K. Ex- Air can be separated by this method. Crystallization: It is used to remove impurities from solid and purify it and also it separates of pure solid from mixture in the form of crystals. Ex- Salt from sea water. Application: Purification of salt that we get from sea water. Separation of crystals of Alum (Phitkiri). from impure samples."
9,Chapter 2- Is matter around us pure,Physical And Chemical Change,"Physical change: The properties that can be observed and specified like color, hardness, rigidity, fluidity, density, melting point, boiling point etc. are the physical change. Chemical change: During this process one substance reacts with another to undergo a change in chemical composition. Chemical properties brings change in the chemical properties of matter and we get new substances. Difference between physical change and chemical change:- Physical Change Chemical Change No new substance is formed during the change. Atleast one or more new substance is formed. Change is temporary. Change is permanent. Reversible process. Irreversible process. Usually no change or small change in energy. Energy change is observed. Only physical properties of substance changes i.e size, shape and appearance. In chemical properties of newly formed substance will be different."
